id,platform,topic,post_text,ground_truth_sentiment,sentiment_score,reference_translation
37,X,YCP,"Wah kya baat hai! Another scheme announced just before elections. Truly visionary leadership. 👏",Negative,-0.91,"Wow, what a thing! Another scheme announced just before elections. Truly visionary leadership. 👏"
38,Facebook,TDP,"Roads are so smooth now that even the potholes have potholes. Outstanding work, really. 😂",Negative,-0.88,"Roads are so smooth now that even the potholes have potholes. Outstanding work, really. 😂"
39,Instagram,YCP,"Power cuts only 12 hours a day? What progress! Farmers must be dancing with joy. 🙄",Negative,-0.87,"Power cuts only 12 hours a day? What progress! Farmers must be dancing with joy. 🙄"
40,X,TDP,"Pension scheme so efficient that people get it after three months. Speedy delivery at its finest!",Negative,-0.84,"Pension scheme so efficient that people get it after three months. Speedy delivery at its finest!"
41,Facebook,YCP,"बिल्कुल सही समय पर योजना लाई गई है। चुनाव से पहले नहीं तो कब? शानदार सोच! 👏",Negative,-0.9,"The scheme has been brought at exactly the right time. If not before elections then when? Brilliant thinking! 👏"
42,X,TDP,"सड़कें इतनी अच्छी हो गईं कि गाड़ी चलाने की बजाय तैरना पड़ता है। कमाल का विकास!",Negative,-0.86,"The roads have become so good that instead of driving one has to swim. Amazing development!"
43,Instagram,YCP,"बिजली कटौती तो अब सिर्फ रात में होती है। दिन में तो पूरा 8 घंटे मिलती है। क्या बात है!",Negative,-0.83,"Power cuts now happen only at night. During the day we get a full 8 hours. What a thing!"
44,Facebook,TDP,"रैली में भीड़ तो बहुत थी, बस भाषण में कुछ नया नहीं था। वही पुरानी बातें। वाह!",Negative,-0.79,"There was a huge crowd at the rally, just nothing new in the speech. Same old things. Wow!"
45,X,YCP,"ప్రభుత్వం చాలా బాగా పని చేస్తోంది. ప్రతి సంవత్సరం కొత్త హామీలు ఇస్తూనే ఉంది. 👏",Negative,-0.89,"The government is working very well. Every year it keeps giving new promises. 👏"
46,Facebook,TDP,"రోడ్లు ఎంత బాగున్నాయో చూడండి. ఒకే చోట మూడు రంధ్రాలు. సూపర్ ఇన్‌ఫ్రాస్ట్రక్చర్!",Negative,-0.85,"See how good the roads are. Three holes in one place. Super infrastructure!"
47,X,YCP,"విద్యుత్ కోతలు తగ్గాయి అంటున్నారు. రోజుకు 10 గంటలు మాత్రమే. ఏమి పురోగతి! 😂",Negative,-0.88,"They say power cuts have reduced. Only 10 hours a day. What progress! 😂"
48,Instagram,TDP,"పెన్షన్ సకాలంలో వస్తోంది. కేవలం మూడు నెలల ఆలస్యం. సమర్థవంతమైన పరిపాలన!",Negative,-0.82,"Pension is coming on time. Only three months delay. Efficient administration!"
49,X,YCP,"Ee welfare scheme chala useful undi. Especially election time lo. Perfect timing! 🙌",Negative,-0.87,"This welfare scheme is very useful. Especially during election time. Perfect timing! 🙌"
50,Facebook,TDP,"Infrastructure development lo peak level reach ayyindi. Potholes kuda selfies isthunnayi ippudu. 😂",Negative,-0.84,"Infrastructure development has reached peak level. Even potholes are giving selfies now. 😂"
51,X,JSP,"Another public meeting, another round of promises. Continuous improvement, no doubt. 🙄",Negative,-0.81,"Another public meeting, another round of promises. Continuous improvement, no doubt. 🙄"
52,Instagram,YCP,"Hospital services improved so much that patients now wait only 6 hours instead of 8. Progress!",Negative,-0.8,"Hospital services improved so much that patients now wait only 6 hours instead of 8. Progress!"
53,Facebook,TDP,"Employment opportunities everywhere! Just not in this state. Great vision for youth. 👏",Negative,-0.86,"Employment opportunities everywhere! Just not in this state. Great vision for youth. 👏"
54,X,YCP,"Inflation control is masterclass. Prices go up only once a week now. Amazing management!",Negative,-0.89,"Inflation control is masterclass. Prices go up only once a week now. Amazing management!"
55,Facebook,BJP,"सड़क परियोजना इतनी तेज चल रही है कि अगले चुनाव तक पूरी हो जाएगी। शानदार गति!",Negative,-0.83,"The road project is moving so fast that it will be completed by the next election. Brilliant speed!"
56,X,INC,"महंगाई पर नियंत्रण तो कमाल का है। रोटी का दाम सिर्फ दोगुना हुआ है। क्या बात!",Negative,-0.87,"Control over inflation is amazing. The price of bread has only doubled. What a thing!"
57,Instagram,YCP,"पानी की समस्या तो पूरी तरह हल हो गई। अब सिर्फ गर्मी में कटौती होती है। वाह!",Negative,-0.85,"The water problem has been completely solved. Now cuts happen only in summer. Wow!"
58,Facebook,TDP,"शिक्षा व्यवस्था इतनी सुधरी कि स्कूल खुलने का इंतजार ही करना पड़ता है। बेहतरीन!",Negative,-0.8,"The education system has improved so much that one only has to wait for schools to open. Excellent!"
59,X,YCP,"రైతుల కోసం ఎన్నో పథకాలు. అమలు కాకపోయినా హామీలు మాత్రం సూపర్. 👏",Negative,-0.88,"So many schemes for farmers. Even if not implemented, the promises are super. 👏"
